Date,Meninggal (baru),Sembuh (baru),Total Kasus,Meninggal,Sembuh,Aktif,Kasus Baru,Persentase Spesimen Positif (Orang),Persentase Penambahan Kasus,Suspek,Spesiment Baru (Orang),Test (Orang),Test (Spesimen),Tingkat Kematian,Tingkat Kesembuhan,Persentase Aktif
2020-03-02,0,0,2,0,0,2,2,0.0,0.0,0,0,0,0,0.0,0.0,1.0
2020-03-03,0,0,2,0,0,2,0,0.0,0.0,0,2,2,0,0.0,0.0,1.0
2020-03-04,0,0,2,0,0,2,0,0.0,0.0,0,31,31,0,0.0,0.0,1.0
2020-03-05,0,0,2,0,0,2,0,0.0,0.0,0,16,16,0,0.0,0.0,1.0
2020-03-06,0,0,4,0,0,4,2,0.03225806451612903,1.0,0,62,62,0,0.0,0.0,1.0
2020-03-07,0,0,4,0,0,4,0,0.0,0.0,0,4,4,0,0.0,0.0,1.0
2020-03-08,0,0,6,0,0,6,2,0.06896551724137931,0.5,0,29,29,0,0.0,0.0,1.0
2020-03-09,0,0,19,0,0,19,13,0.21666666666666667,2.1666666666666665,0,60,60,0,0.0,0.0,1.0
2020-03-10,0,0,27,0,0,27,8,0.052980132450331126,0.42105263157894735,0,151,151,0,0.0,0.0,1.0
2020-03-11,2,2,34,2,2,30,7,0.0707070707070707,0.25925925925925924,0,99,99,0,0.05882352941176471,0.05882352941176471,0.8823529411764706
2020-03-12,2,1,34,4,3,27,0,0.0,0.0,0,69,69,0,0.1176470588235294,0.08823529411764706,0.7941176470588235
2020-03-13,0,2,69,4,5,60,35,0.2447552447552448,1.0294117647058822,0,143,143,0,0.05797101449275361,0.07246376811594203,0.8695652173913043
2020-03-14,1,3,96,5,8,83,27,0.135,0.39130434782608703,0,200,200,0,0.052083333333333336,0.08333333333333333,0.8645833333333334
2020-03-15,0,0,117,5,8,104,21,0.23863636363636365,0.21875,0,88,88,0,0.042735042735042736,0.06837606837606837,0.8888888888888888
2020-03-16,0,0,134,5,8,121,17,-0.2698412698412698,0.1452991452991453,0,-63,-63,0,0.037313432835820885,0.05970149253731344,0.9029850746268656
2020-03-17,2,1,172,7,9,156,38,0.2676056338028169,0.2835820895522388,0,142,142,0,0.040697674418604654,0.05232558139534884,0.9069767441860463
2020-03-18,12,2,227,19,11,197,55,0.25,0.31976744186046513,0,220,220,0,0.08370044052863436,0.048458149779735685,0.8678414096916299
2020-03-19,6,4,309,25,15,269,82,0.2679738562091503,0.3612334801762114,0,306,306,0,0.08090614886731391,0.04854368932038835,0.8705501618122977
2020-03-20,7,1,369,32,16,321,60,0.4615384615384616,0.1941747572815534,0,130,130,0,0.08672086720867209,0.043360433604336036,0.8699186991869918
2020-03-21,6,4,450,38,20,392,81,0.2403560830860534,0.2195121951219512,0,337,337,0,0.08444444444444445,0.04444444444444445,0.8711111111111111
2020-03-22,10,9,514,48,29,437,64,0.8767123287671232,0.14222222222222222,0,73,73,0,0.0933852140077821,0.05642023346303503,0.8501945525291829
